fecha	cols	rows	min_gain_to_split	max_depth	max_bin	seed	extra_trees	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	bagging_fraction	num_iterations	ganancia	iteracion_bayesiana
20251128 233738	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.199821844867393	0.625909989126563	569	43	3.44360270449681	9.31879118130714	0.830066626539465	1621	79.8477522943783	62
20251128 234105	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0929870206951534	0.796117017023384	10	77	4.88417267367721	8.23303320875269	0.749976469459057	13217	74.5133432499651	63
20251128 234236	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.108876523866081	0.749041035261979	1492	35	0.822808791653398	6.7883873077677	0.883354045522715	2722	59.6177843149458	64
20251128 235923	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0110804069756126	0.393339802769089	12	98	0.293725998439098	6.90626671089579	0.602365745996933	99999	63.0739706160517	65
20251129 001346	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0108326533896734	0.300463718400137	652	96	4.67422235802874	6.0805601603782	0.605554815450598	99991	75.0669670463712	66
20251129 001528	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.127413874478183	0.300481181907702	12	88	0.00861708556722706	0.817058518166706	0.609830477656973	14010	82.8525062103017	67
20251129 001841	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.043358789114749	0.327488605214515	10	103	2.91682227608077	8.21359696481603	0.862296788513934	31792	61.3477935433412	68
20251129 001932	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0698167209577251	0.518722642959502	1241	7	0.00421178106088949	7.53940535227989	0.860555356974725	518	49.3378831042437	69
20251129 002800	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0972631927405814	0.594840600964529	96	100	0.00198031656394159	9.79146486574202	0.822865984338983	42543	66.0310537099449	70
20251129 002854	3124	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.052497204215818	0.52755265001468	1344	61	0.0055381033485432	5.42859904927711	0.74099905636856	3154	96.4317376239495	71
