fecha	cols	rows	min_gain_to_split	max_depth	max_bin	seed	extra_trees	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	bagging_fraction	num_iterations	ganancia	iteracion_bayesiana
20251201 165413	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0101831156552821	0.813219302169025	1358	5	3.99191237447399	8.42410617891245	0.833975002033064	10492	74.9199420838916	88
20251201 165424	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.139277112629555	0.388797423140411	917	5	2.01171076795864	0.0203245624282919	0.79163770470742	370	61.1045193740393	89
20251201 165503	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0518370080456737	0.826382409460723	1499	5	0.559656729026245	0.053270804078802	0.827103020942915	1270	67.8886890523644	90
20251201 165515	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.146347336976423	0.549612219444904	1314	5	2.78920286812304	0.0154873440562066	0.825765709779598	322	70.6585854950377	91
20251201 165928	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0108731072064444	0.6791271309825	1448	5	1.47948942151312	7.28703711993354	0.906922140947557	10609	72.6567771637088	92
20251201 170154	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.184178001841597	0.897109834317356	95	84	0.718370391601128	4.68204042133249	0.786201155942896	16225	90.7662682320043	93
20251201 171327	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0254678606720653	0.358566979714491	32	103	1.30515206522423	6.1802674234484	0.999354765859432	99998	101.347409407825	94
20251201 171355	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.153750711641968	0.565184253216507	10	32	1.95715581609999	4.67697096029282	0.600095804985853	2779	87.3258135588787	95
20251201 172146	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.199518876687039	0.496537711069274	264	61	0.137293782082906	6.20358110961297	0.606322318676671	9745	87.2108452352506	96
20251201 172215	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.153750711641968	0.565184253216507	10	32	1.95715581609999	4.67697096029282	0.600095804985853	2779	87.3258135588787	97
20251201 172224	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.167027307520726	0.344597800608728	1062	5	1.15260117610714	0.00631076095495614	0.629644852455969	334	70.6246241668409	98
20251201 172649	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.116133939247594	0.899945952991594	942	88	0.145360716563853	6.74903645296309	0.60190038921829	29557	90.3884479912858	99
20251201 172725	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.105211711619747	0.301381346917235	1490	146	2.70660561653381	0.0404023151021995	0.961937913138538	10461	109.849563950786	100
20251201 172945	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.198733640132121	0.883049971282365	918	96	2.95771816039215	2.69256165964624	0.999194606539445	16043	101.69974362096	101
20251201 173152	3115	343	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.193586089026256	0.893281967872796	1497	65	0.00184138205673995	3.18722317856664	0.602923060755559	12411	95.2456118979358	102
