fecha	cols	rows	min_gain_to_split	max_depth	max_bin	seed	extra_trees	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	bagging_fraction	num_iterations	ganancia	iteracion_bayesiana
20251202 231213	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.035845784833716	0.732415760877094	201	5	2.90229320104967	6.59001843792507	0.994328282021329	637	55.7736736860272	42
20251202 231233	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0927198026323156	0.391169765803067	927	5	3.49506847922088	0.0247849104559546	0.999566090824142	238	49.4547083246396	43
20251202 231254	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0785978658187646	0.327115686646869	286	5	2.31410605969602	0.466948489711706	0.996796123661997	379	54.4769014028487	44
20251202 231439	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0194683106047306	0.536862688136405	1309	5	4.99927299880141	0.765838938686211	0.839410269571167	1316	49.8442590386531	45
20251202 231529	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0333701590956402	0.80450841192113	731	5	4.39515124514238	0.0765819261982443	0.741408191611678	92	44.7400082585138	46
20251202 231552	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.178463360599754	0.776585995200035	1122	5	3.98708007514826	0.0947435018387124	0.827644827516114	112	60.6038736047568	47
20251202 234827	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0108611334657833	0.749313707017179	18	204	4.98158560656295	3.71486526335608	0.614879725324528	86229	104.065367746617	48
20251202 235042	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0183574888785866	0.636586205246014	842	5	4.14881046729498	4.48457092830938	0.876370480687374	998	51.0283437747862	49
20251202 235112	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0472232618804822	0.59778610139417	11	5	0.673497297584238	0.207535687037262	0.636879642181123	181	67.1288192576682	50
20251202 235325	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0150752611329932	0.573699319820203	248	5	4.60824207492023	0.0564226278785406	0.897651782402104	2185	47.5700576805354	51
20251202 235514	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0130726136842321	0.857673106072056	1030	5	0.691449293043876	0.00949919054525936	0.914705472778034	222	46.5812479431735	52
20251202 235603	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.102241198524032	0.42768078443671	1488	5	0.0645393785056602	0.0316917774385263	0.88383708637614	412	53.0236550859707	53
20251202 235717	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0223621478850402	0.84589233273682	921	5	3.10231232400532	0.404744563671052	0.816386039086531	229	44.6430497974222	54
20251202 235745	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.122875565531359	0.305658446214633	1487	5	3.92468782438849	9.98482308709166	0.897373385462611	448	64.6526369625847	55
20251202 235820	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.152821177378697	0.319599200043465	11	103	4.9808105831569	4.65940744063504	0.62481158044315	2911	83.2076201557418	56
20251202 235913	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0344146404198866	0.57149123651734	991	5	3.35337749857295	0.0245294847706235	0.727444128680152	441	46.2899349525341	57
20251203 000052	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.132031750809704	0.819683922517539	613	5	0.0146095704389133	9.70107528901675	0.885272167630333	421	73.6899698781542	58
20251203 000534	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.106582132214197	0.878319763402251	91	85	4.99466129023398	9.99130870704379	0.644743286915041	8501	93.8378217375508	59
20251203 000648	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0407831000661351	0.802052464207031	1496	5	3.25482918867463	0.110619109932971	0.762921270826824	474	45.8885263112564	60
20251203 000857	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0110499934801699	0.435819976397029	744	5	4.12330818100915	0.00267623892167128	0.911295714908025	2291	48.7188958891143	61
20251203 000955	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0594625200474025	0.74941842889029	1203	8	4.69625737476966	0.00505640241103498	0.767377497225418	471	75.1955317027151	62
20251203 001423	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0104838118633141	0.822976984260437	541	5	3.36157491516313	0.245729457558104	0.707262796295346	2825	44.6710552170347	63
20251203 001622	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.198439496164555	0.819457020877415	38	197	0.0159550390283957	0.676457994050678	0.860526496342456	5420	93.1421767734336	64
20251203 001738	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0522302685146356	0.839641289038966	385	5	3.58868464782352	3.28426103210179	0.846227867828939	716	53.0502031714858	65
20251203 001808	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.18790051165365	0.315801704002482	20	21	1.13787220188614	9.80328526497494	0.997594126911888	1391	90.3327390075994	66
20251203 002001	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0100162629797326	0.766604671984088	89	5	1.59675922994646	0.0386534213905232	0.898745442609272	356	45.2769775347596	67
20251203 011159	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0128499286077896	0.812583098131689	153	108	4.67247380232364	6.47996556047371	0.998757176250022	87948	76.1298433510827	68
20251203 011453	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.198183999327999	0.733676328198313	441	106	0.104802575568067	9.84442771554	0.880195127368919	4154	84.0620243755296	69
20251203 012344	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.010166985220652	0.892386266488222	1500	5	3.42511502924639	8.33541805123505	0.620834981102987	3847	59.0656142424363	70
20251203 022413	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0140045717167519	0.899959962689759	889	107	4.25932910498279	3.3965637017365	0.602586242796093	99991	77.9369691564483	71
20251203 022612	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0138409492858246	0.741285793354039	381	5	2.76990939037284	0.0813301968083452	0.868076672521671	264	44.7789680824148	72
20251203 024907	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0111357563798156	0.303397627833539	824	108	2.27894025750586	9.99256011811662	0.732695955624676	99980	76.8395828504416	73
20251203 032643	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0122829998965751	0.816360315142529	1466	66	4.49144270734452	9.94899775767873	0.633113741709959	55292	96.5710688169981	74
20251203 032749	5984	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.183889173229424	0.301367594932654	84	70	0.155643259204429	9.98183347865786	0.607079450037865	3151	92.130255757177	75
